Top Designator;Comment;Footprint;Part # ;Manufacturer;Footprint;Description;JLCPCB Part #
AE1;2450AT18A100E;Johanson_2450AT18x100;2450AT18A100E;Johanson Dielectrics;1206;0.5dBi 2.4G Antenna 2.4GHz 2W 1206 Antennas ROHS;C89334
C1,C5,C61,C65;22uF;805;CL21A226MAQNNNE;Samsung Electro-Mechanics;805;25V 22uF X5R ±20% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS;C45783
C2,C63;10uF;805;CL21A106KAYNNNE;Samsung Electro-Mechanics;805;25V 10uF X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS;C15850
C3,C62;10nF;402;CL05B103KB5NNNC;Samsung Electro-Mechanics;402;50V 10nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS;C15195
C4,C64;220pF;603;CL10B221KB8NNNC;Samsung Electro-Mechanics;603;50V 220pF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS;C1603
C6,C9;2.2uF;603;CL10A225KO8NNNC;Samsung Electro-Mechanics;603;16V 2.2uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS;C23630
C10,C7,C78;4.7uF;603;CL10A475KO8NNNC;Samsung Electro-Mechanics;603;16V 4.7uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS;C19666
C11,C66,C73;100nF;805;CC0805KRX7R9BB104;YAGEO;805;50V 100nF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS;C49678
C12,C25,C76,C77,C79,C8;100nF;603;CC0603KRX7R9BB104;YAGEO;603;50V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS;C14663
C13;1.2pF;402;CC0402BRNPO9BN1R2;YAGEO;402;50V 1.2pF NP0 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS;C327292
C14;2.4pF;402;0402CG2R4C500NT;FH (Guangdong Fenghua Advanced Tech);402;50V 2.4pF C0G 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS;C48346
C15,C16,C19,C20,C21,C23,C30,C37,C38,C39,C40,C41,C42,C43,C45,C46,C47,C48,C49,C50,C51,C52,C56,C57,C58,C67,C68,C69,C70,C75;100nF;402;CL05B104KO5NNNC;Samsung Electro-Mechanics;402;16V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS;C1525
C31,C32,C33,C34,C35,C36;0.1uF;402;CL05B104KO5NNNC;Samsung Electro-Mechanics;402;16V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS;C1525
C17,C22,C24,C28,C44,C53,C60;1uF;402;CL05A105KA5NQNC;Samsung Electro-Mechanics;402;25V 1uF X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS;C52923
C18;10uF;402;CL05A106MQ5NUNC;Samsung Electro-Mechanics;402;6.3V 10uF X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS;C15525
C26,C27,C29;12pF;402;0402CG120J500NT;FH (Guangdong Fenghua Advanced Tech);402;50V 12pF C0G ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS;C1547
C54,C55;20pF;402;0402CG200J500NT;FH (Guangdong Fenghua Advanced Tech);402;50V 20pF C0G ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS;C1554
C59;2.2uF;402;CL05A225MQ5NSNC;Samsung Electro-Mechanics;402;6.3V 2.2uF X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS;C12530
C71,C72;10nF;805;CL21B103KBANNNC;Samsung Electro-Mechanics;805;50V 10nF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS;C1710
C74;47uF;805;CL21A476MQYNNNE;Samsung Electro-Mechanics;805;6.3V 47uF X5R ±20% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS;C16780
D1;LRB520S-30T1G;D_SOD-523;LRB520S-30T1G;LRC;SOD-523;30V 600mV 200mA SOD-523 Schottky Diodes ROHS;C83680
D2;RB521S30T1G;DIOM168X70N;RB521S30T1G;DOWO;SOD-523;SOD-523 Schottky Diodes ROHS;C27636108
D10;TPD1E10B06DPYR;TPD1E05U06DPYR;TPD1E10B06DPYR;Texas Instruments;X1-SON-2(0.6x1);90W 14V 6V 5.5V X1-SON-2(0.6x1) ESD and Surge Protection (TVS/ESD) ROHS;C48260
FB1,FB2;120R;BLM18PG121SN1D;BLM18PG121SN1D;Murata Electronics;603;50m? ±25% 120?@100MHz 0603 Ferrite Beads ROHS;C14709
FB3,FB4,FB5,FB6;600R;BLM18PG121SN1D;MPZ1608S601ATA00;TDK;603;150m? ±25% 600?@100MHz 0603 Ferrite Beads ROHS;C107335
FB7;0R;TPD1E05U06DPYR;TPD1E05U06DPYR-TP;TECH PUBLIC;DFN1006-2;DFN1006-2 ESD and Surge Protection (TVS/ESD) ROHS;C907835
J1;1775443-2;1775443-2;5-1775443-2;TE Connectivity;SMD,P=1.5mm;1 Tin 1.5mm -55?~+105? Brass 3A Standing paste SMD,P=1.5mm  Wire To Board Connector ROHS;C5162845
L1,L3;2.2uH;L_Coilcraft_XxL4020;MLZ1005M2R2WT000;TDK;402;2.2uH ±20% 60mA 550m? 0402  Inductors (SMD) ROHS;C383389
