Designator,Mid X,Mid Y,Rotation,Layer
AE1,122.560362,-60.450999,30.0,top
C1,133.060362,-119.500999,270.0,top
C10,134.285362,-99.950999,180.0,top
C11,132.060362,-115.000999,270.0,top
C12,137.5,-99.950999,0.0,top
C13,122.085362,-68.770999,270.0,top
C14,118.620362,-67.765,180.0,top
C15,120.620362,-67.765,0.0,top
C16,118.100362,-66.245,270.0,top
C17,119.100362,-66.245,270.0,top
C18,121.100362,-66.265,270.0,top
C19,108.0,-77.98,270.0,top
C2,135.060362,-119.500999,270.0,top
C20,109.0,-77.98,270.0,top
C21,110.0,-78.0,270.0,top
C22,111.0,-78.0,270.0,top
C23,124.620362,-69.790999,180.0,top
C24,124.620362,-70.770999,180.0,top
C25,121.275,-83.930999,0.0,top
C26,125.600362,-72.5,270.0,top
C27,131.600362,-71.750999,90.0,top
C28,123.98,-80.770999,0.0,top
C29,116.100362,-66.25,90.0,top
C3,132.580362,-121.950999,180.0,top
C30,111.02,-81.5,180.0,top
C31,124.060362,-84.4,180.0,top
C32,131.040362,-84.3,180.0,top
C33,138.040362,-84.3,180.0,top
C34,145.040362,-84.4,180.0,top
C35,102.5,-89.1,90.0,top
C36,168.560362,-88.930999,270.0,top
C37,151.080362,-67.950999,0.0,top
C38,151.080362,-68.950999,0.0,top
C39,151.080362,-69.950999,0.0,top
C4,123.3,-118.8,270.0,top
C40,139.080362,-63.5,180.0,top
C41,151.080362,-64.8,0.0,top
C42,145.060362,-58.930999,90.0,top
C43,153.345362,-73.950999,0.0,top
C44,141.080362,-73.950999,0.0,top
C45,147.560362,-58.930999,90.0,top
C46,142.560362,-58.930999,90.0,top
C47,139.040362,-61.5,180.0,top
C48,139.040362,-66.450999,180.0,top
C49,143.060362,-70.430999,270.0,top
C5,124.510362,-113.950999,180.0,top
C50,146.25,-70.430999,270.0,top
C51,151.080362,-66.450999,0.0,top
C52,151.080362,-62.450999,0.0,top
C53,144.0,-70.75,270.0,top
C54,134.0,-71.52,270.0,top
C55,139.0,-72.5,90.0,top
C56,131.0,-61.5,270.0,top
C57,144.52,-115.0,0.0,top
C58,152.52,-94.0,180.0,top
C59,152.4,-92.7,180.0,top
C6,129.560362,-106.450999,270.0,top
C60,158.5,-94.99,270.0,top
C61,117.8,-105.83,270.0,top
C62,117.5625,-108.33,180.0,top
C63,119.8,-105.83,270.0,top
C64,108.5425,-105.105,270.0,top
C65,110.0425,-100.33,270.0,top
C66,108.0425,-100.38,270.0,top
C67,159.5,-94.99,270.0,top
C68,161.0,-76.5,0.0,top
C69,104.3,-86.2,45.0,top
C7,127.560362,-99.950999,180.0,top
C70,164.5,-92.0,45.0,top
C71,164.328249,-100.671751,45.0,top
C72,165.828249,-102.171751,45.0,top
C73,110.0,-69.3,0.0,top
C74,107.14044,-73.192955,90.0,top
C75,143.0,-104.5,217.0,top
C76,141.5,-102.0,127.0,top
C77,125.645,-106.0575,90.0,top
C78,124.0,-106.0575,90.0,top
C79,123.5,-111.225,270.0,top
C8,130.785362,-99.950999,0.0,top
C9,136.060362,-106.725999,270.0,top
D1,121.7,-82.270999,0.0,top
